X,Y,n.,name,N,E,actual function,plan,icon_url
14.262187,40.854038,"56",Chiesa di S. Maria del Monte dei Poveri,"40,854038","14,262187",rudere,plans/100-1.png,./0.png
14.255125,40.854112,"57",Chiesa di S. Maria del Popolo agli Incurabili,"40,854112","14,255125",inattiva,plans/102-1.png,./0.png
14.263823,40.855147,"58",Chiesa di S. Maria del Rifugio dei Peccatori,"40,855147","14,263823",inattiva,plans/103-1.png,./0.png
14.259068,40.847054,"59",Chiesa di S. Maria dell�Arco,"40,847054","14,259068",deposito,plans/106-1.png,./0.png
14.259306,40.847593,"60",Chiesa di S. Maria della Moneta,"40,847593","14,259306",abitazione,plans/111-1.png,./0.png
14.251909,40.851054,"61",Chiesa di S. Maria della Sapienza,"40,851054","14,251909",inattiva,plans/113-1.png,./0.png
14.257336,40.851367,"62",Chiesa di S. Maria della Scorziata,"40,851367","14,257336",inattiva,plans/114-1.png,./0.png
14.255886,40.852386,"63",Chiesa di S. Maria della Vittoria e S.ma Trinit� all�Anticaglia,"40,852386","14,255886",inattiva,plans/116-1.png,./0.png
14.253818,40.853059,"64",Chiesa di S. Maria delle Grazie a Caponapoli,"40,853059","14,253818",inattiva,plans/117-1.png,./0.png
14.252917,40.841722,"65",Chiesa di S. Maria delle Grazie,"40,841722","14,252917",parzialmente inattiva,plans/118-1.png,./0.png
14.256029,40.842957,"66",Chiesa di S. Maria di Monserrato,"40,842957","14,256029",autorimessa,plans/120-1.png,./0.png
14.257468,40.842849,"67",Chiesa di S. Maria di Portosalvo,"40,842849","14,257468",inattiva,plans/121-1.png,./0.png
14.259558,40.846825,"68",Chiesa di S. Maria in Cosmedin,"40,846825","14,259558",inattiva,plans/122-1.png,./0.png
14.25621,40.850861,"69",Chiesa di S. Maria Porta Coeli,"40,850861","14,256210",deposito,plans/127-1.png,./0.png
14.260583,40.85365,"70",Chiesa di S. Maria Vertecoeli,"40,853650","14,260583",inattiva,plans/129-1.png,./0.png
14.25645,40.843313,"71",Chiesa di S. Mattia Apostolo ai Canestrari al Porto,"40,843313","14,256450",autorimessa,plans/131-1.png,./0.png
14.26311,40.851519,"72",Chiesa di S. Nicola dei Caserti,"40,851519","14,263110",inattiva,plans/132-1.png,./0.png
14.255489,40.844722,"73",Chiesa di S. Pietro in Vinculis,"40,844722","14,255489",inattiva,plans/134-1.png,./0.png
14.259281,40.845627,"74",Chiesa di S. Salvatore agli Orefici,"40,845627","14,259281",ristorante,plans/136-1.png,./0.png
14.262739,40.852756,"75",Chiesa di S. Tommaso Apostolo a Capuana,"40,852756","14,262739",parzialmente inattiva,plans/138-1.png,./0.png
14.258359,40.852291,"76",Cappella dell'Assunta ai Gerolomini (in Complesso dei Gerolomini),"40,852291","14,258359",inattiva,plans/140-1.png,./0.png
14.253595,40.853165,"77",Congrega dei SS. Michele e Omobono dei Sartori,"40,853165","14,253595",inattiva,plans/142-1.png,./0.png
14.257104,40.85106,"78",Congrega del Crocifisso dei Nobili (in S. Paolo Maggiore),"40,851060","14,257104",inattiva,plans/_0000.png,./0.png
14.257104,40.85106,"79",Congrega del Divino Amore (in S. Paolo Maggiore),"40,851060","14,257104",inattiva,plans/_0000.png,./0.png
14.253708,40.849384,"80",Congrega del S.mo Nome di Ges� (in S. Domenico Maggiore),"40,849384","14,253708",inattiva,plans/145-1.png,./0.png
14.254425,40.848828,"81",Congrega del S.mo Rosario (in S. Domenico Maggiore),"40,848828","14,254425",inattiva,plans/146-1.png,./0.png
14.25411,40.844444,"82",Congrega delle SS. Orsola e Caterina dei Rossi,"40,844444","14,254110",inattiva,plans/148-1.png,./0.png
14.254328,40.844808,"83",Congrega di S. Giovanni Battista dei Garzoni Caprettai (pag 45),"40,844808","14,254328",inattiva,plans/149-1.png,./0.png
14.258861,40.85241,"84",Congrega di S. Giuseppe o dei Giovanetti (in Complesso dei Gerolomini),"40,852410","14,258861",inattiva,plans/_0000.png,./0.png
14.261117,40.846783,"85",Congrega di S. Maria delle Grazie,"40,846783","14,261117",inattiva,plans/151-1.png,./0.png
14.254773,40.853967,"86",Congrega di S. Maria Succurre Miseris,"40,853967","14,254773",inattiva,plans/152-1.png,./0.png
14.26026,40.849324,"87",Cappella di S. Maria della Stella alle Paparelle,"40,849324","14,260260",centro di ricerca,plans/153-1.png,./0.png
14.255916,40.853751,"88",Cappella di S. Gaetano,"40,853751","14,255916",rudere,plans/154-1.png,./0.png
14.254883,40.849308,"89",Cappella Sansevero,"40,849308","14,254883",museo,plans/155-1.png,./0.png
14.258169,40.853443,"90",Cappella di S. Nicola alle Sacramentine,"40,853443","14,258169",uffici,plans/_0000.png,./0.png
14.25772,40.84907,"91",Cappella del Monte di Piet�,"40,849070","14,257720",museo,plans/157-1.png,./0.png
14.256091,40.848779,"92",Cappella di S. Maria dei Pignatelli,"40,848779","14,256091",inattiva,plans/158-1.png,./0.png
14.25582,40.850306,"93",Cappella di S. Maria dell'Assunta al Purgatorio,"40,850306","14,255820",teatro,plans/159-1.png,./0.png
14.25572,40.845777,"94",Cappella di S. Giovanni dei Pappacoda,"40,845777","14,255720",universit�,plans/160-1.png,./0.png
14.25585,40.845156,"95",Cappella del Santo Sepolcro di Cristo,"40,845156","14,255850",autorimessa,plans/161-1.png,./0.png
14.257207,40.84766,"96",Cappella dell'Immacolata Concezione,"40,847660","14,257207",ingresso del monastero,plans/162-1.png,./0.png
14.257822,40.846233,"97",Chiesa di S. Andrea Apostolo,"40,846233","14,257822",chiesa ortodossa russa,plans/163-1.png,./0.png
14.259738,40.847474,"98",Chiesa S. Giovanni Battista a Portanova,"40,847474","14,259738",associazione culturale,plans/164-1.png,./0.png
14.259812,40.848951,"99",Chiesa S. Maria della Libera ai Ferrivecchi,"40,848951","14,259812",centro di accoglienza,plans/165-1.png,./0.png
14.259328,40.848957,"100",Chiesa di S. Pietro a Fusariello,"40,848957","14,259328",attivit� commerciale,plans/166-1.png,./0.png
14.260666,40.849221,"101",Chiesa di S. Severo al Pendino,"40,849221","14,260666",spazio espositivo,plans/168-1.png,./0.png
14.25866,40.847015,"102",Chiesa dei SS. Marcellino e Festo,"40,847015","14,258660",centro congressi,plans/169-1.png,./0.png
14.255621,40.846774,"103",Arciconfraternita della Carit� del Signore,"40,846774","14,255621",laboratorio musicale,plans/170-1.png,./0.png
14.256469,40.848094,"104",Chiesa di S. Maria Donnaromita,"40,848094","14,256469",universit�,plans/171-1.png,./0.png
